Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z1,2010,MALE,23.246,26.0,144857.039,4.59,-2.63,35.286
Z1,2011,BOTH,27.108,71.0,288684.92556,3.22,0.5,25.488
Z1,2011,FEMALE,19.584,28.0,143152.03473,3.75,0.27,18.587
Z1,2011,MALE,37.012,43.0,145532.89083,5.67,0.51,34.139
Z1,2012,BOTH,28.054,74.0,291064.05749,3.27,1.19,24.154
Z1,2012,FEMALE,15.944,22.0,144379.01771,3.43,-0.58,17.935
Z1,2012,MALE,43.645,52.0,146685.03979,6.08,1.93,31.937
Z1,2013,BOTH,25.024,69.0,293677.65749,3.02,0.67,23.005
Z1,2013,FEMALE,22.346,34.0,145714.87737,3.86,1.46,16.695
Z1,2013,MALE,28.049,35.0,147962.78012,4.76,-0.61,30.956
Z1,2014,BOTH,21.295,60.0,296964.18204,2.76,-0.9,23.783
Z1,2014,FEMALE,14.846,24.0,147674.72222,3.07,-0.74,17.13
Z1,2014,MALE,28.887,36.0,149289.45982,4.83,-0.71,32.318
Z1,2015,BOTH,25.962,74.0,298192.71166,3.03,0.39,24.775
Z1,2015,FEMALE,17.515,28.0,148550.82181,3.36,-0.12,17.915
Z1,2015,MALE,35.746,46.0,149641.88985,5.29,0.46,33.338
Z1,2016,BOTH,24.07,70.0,299912.85852,2.89,-1.92,29.627
Z1,2016,FEMALE,16.062,25.0,149692.29639,3.25,-1.57,21.156
Z1,2016,MALE,34.045,45.0,150220.56213,5.09,-1.26,40.467
Z1,2017,BOTH,30.972,92.0,302615.85285,3.25,0.49,29.394
Z1,2017,FEMALE,23.923,38.0,151219.73821,3.92,0.64,21.429
Z1,2017,MALE,40.275,54.0,151396.11464,5.52,0.12,39.596
Z1,2018,BOTH,33.202,103.0,305338.53353,3.3,1.33,28.824
Z1,2018,FEMALE,25.921,43.0,152565.25818,4.01,1.37,20.429
Z1,2018,MALE,41.921,60.0,152773.27535,5.45,0.53,39.03
Z1,2019,BOTH,26.654,85.0,307604.07271,2.92,-0.87,29.181
Z1,2019,FEMALE,17.602,31.0,153653.89172,3.2,-1.35,21.923
Z1,2019,MALE,37.531,54.0,153950.18099,5.16,-0.12,38.16
Z1,2020,BOTH,20.985,71.0,310921.62997,2.5,-2.3,26.747
Z1,2020,FEMALE,14.038,26.0,155288.01793,2.78,-1.26,17.548
Z1,2020,MALE,28.721,45.0,155633.61204,4.31,-2.14,37.939
Z2,2004,BOTH,27.373,204.0,1170235.2944,1.95,1.66,24.141
Z2,2004,FEMALE,16.34,70.0,578090.3654,1.97,-0.51,17.354
Z2,2004,MALE,42.207,134.0,592144.929,3.82,2.2,33.816
Z2,2005,BOTH,27.704,216.0,1206348.6497,1.91,1.45,24.936
Z2,2005,FEMALE,18.28,80.0,596064.45663,2.05,0.69,16.865
Z2,2005,MALE,41.033,136.0,610284.19311,3.69,1.47,35.595
Z2,2006,BOTH,24.382,196.0,1252048.4597,1.76,0.1,24.209
Z2,2006,FEMALE,19.113,88.0,617873.19163,2.05,0.07,18.961
Z2,2006,MALE,32.376,108.0,634175.26804,3.27,0.25,31.565
Z2,2007,BOTH,26.166,219.0,1286189.7719,1.78,0.86,24.627
Z2,2007,FEMALE,17.928,84.0,633670.67313,1.96,-0.18,18.289
Z2,2007,MALE,36.92,135.0,652519.0988,3.31,1.16,33.082
Z2,2008,BOTH,21.598,190.0,1321704.3009,1.59,-0.4,22.229
Z2,2008,FEMALE,14.311,70.0,650186.63805,1.72,-0.87,15.812
Z2,2008,MALE,32.139,120.0,671517.66286,3.07,0.5,30.599
Z2,2009,BOTH,27.303,251.0,1359540.9447,1.74,1.21,25.195
Z2,2009,FEMALE,20.658,104.0,669144.69103,2.04,0.89,18.837
Z2,2009,MALE,35.519,147.0,690396.25368,3.05,0.62,33.61
Z2,2010,BOTH,25.885,246.0,1383624.3605,1.67,0.39,25.232
Z2,2010,FEMALE,17.396,90.0,683281.2094,1.84,-0.02,17.428
Z2,2010,MALE,37.094,156.0,700343.15111,3.07,0.59,35.286
Z2,2011,BOTH,26.807,262.0,1410569.46,1.67,0.79,25.488
Z2,2011,FEMALE,19.175,102.0,698093.00133,1.91,0.31,18.587
Z2,2011,MALE,36.297,160.0,712476.45869,2.95,0.73,34.139
Z2,2012,BOTH,24.317,250.0,1448892.527,1.55,0.11,24.154
