Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z3.2.C,2007,MALE,37.55,4.0,16592.954007,19.19,0.23,33.082
Z3.2.C,2008,BOTH,27.834,4.0,32819.940237,14.15,0.4,22.229
Z3.2.C,2008,FEMALE,15.388,1.0,15919.326801,15.39,-0.03,15.812
Z3.2.C,2008,MALE,49.969,3.0,16900.613436,30.8,0.63,30.599
Z3.2.C,2009,BOTH,21.57,4.0,33804.821498,10.82,-0.33,25.195
Z3.2.C,2009,FEMALE,22.631,2.0,16460.464772,16.0,0.24,18.837
Z3.2.C,2009,MALE,20.239,2.0,17344.356726,14.41,-0.93,33.61
Z3.2.C,2010,BOTH,16.626,3.0,34532.639048,9.75,-0.88,25.232
Z3.2.C,2010,FEMALE,0.0,0.0,16877.71846,11.85,-1.47,17.428
Z3.2.C,2010,MALE,33.168,3.0,17654.920589,19.46,-0.11,35.286
Z3.2.C,2011,BOTH,43.661,8.0,35363.464681,16.03,1.13,25.488
Z3.2.C,2011,FEMALE,21.699,2.0,17278.527687,15.34,0.2,18.587
Z3.2.C,2011,MALE,57.08,6.0,18084.936994,24.1,0.95,34.139
Z3.2.C,2012,BOTH,22.357,6.0,36334.746193,9.28,-0.19,24.154
Z3.2.C,2012,FEMALE,23.601,3.0,17726.323233,14.22,0.4,17.935
Z3.2.C,2012,MALE,22.189,3.0,18608.42296,12.81,-0.76,31.937
Z3.2.C,2013,BOTH,37.83,8.0,37638.233751,14.35,1.03,23.005
Z3.2.C,2013,FEMALE,19.296,2.0,18344.989753,13.99,0.19,16.695
Z3.2.C,2013,MALE,57.846,6.0,19293.243998,26.9,1.0,30.956
Z3.2.C,2014,BOTH,26.497,7.0,39104.876734,10.06,0.27,23.783
Z3.2.C,2014,FEMALE,7.364,1.0,19081.574015,7.36,-1.33,17.13
Z3.2.C,2014,MALE,45.31,6.0,20023.302719,18.58,0.7,32.318
Z3.2.C,2015,BOTH,19.738,5.0,40566.490108,8.87,-0.57,24.775
Z3.2.C,2015,FEMALE,6.494,1.0,19769.235308,6.49,-1.76,17.915
Z3.2.C,2015,MALE,32.773,4.0,20797.254801,16.39,-0.03,33.338
Z3.2.C,2016,BOTH,25.029,6.0,41674.94876,10.56,-0.44,29.627
Z3.2.C,2016,FEMALE,18.491,2.0,20445.660237,13.5,-0.2,21.156
Z3.2.C,2016,MALE,30.718,4.0,21229.288523,15.41,-0.63,40.467
Z3.2.C,2017,BOTH,21.181,6.0,44079.646628,8.85,-0.93,29.394
Z3.2.C,2017,FEMALE,11.803,2.0,21694.982204,8.5,-1.13,21.429
Z3.2.C,2017,MALE,29.93,4.0,22384.664425,15.09,-0.64,39.596
Z3.2.C,2018,BOTH,21.276,7.0,45686.524205,8.36,-0.9,28.824
Z3.2.C,2018,FEMALE,23.186,4.0,22414.716755,12.25,0.22,20.429
Z3.2.C,2018,MALE,19.945,3.0,23271.807449,11.76,-1.62,39.03
Z3.2.C,2019,BOTH,39.52,14.0,47031.707879,11.29,0.92,29.181
Z3.2.C,2019,FEMALE,39.363,8.0,23200.66802,14.04,1.24,21.923
Z3.2.C,2019,MALE,41.139,6.0,23831.039859,18.83,0.16,38.16
Z3.2.C,2020,BOTH,18.392,6.0,47461.848454,7.7,-1.08,26.747
Z3.2.C,2020,FEMALE,14.172,2.0,23409.481879,10.02,-0.34,17.548
Z3.2.C,2020,MALE,22.312,4.0,24052.366575,11.54,-1.35,37.939
Z3.3.A,2004,BOTH,42.428,12.0,27197.19002,12.42,1.47,24.141
Z3.3.A,2004,FEMALE,39.558,7.0,13488.910663,15.0,1.48,17.354
Z3.3.A,2004,MALE,42.51,5.0,13708.279357,19.17,0.45,33.816
Z3.3.A,2005,BOTH,22.144,6.0,27244.057799,9.16,-0.3,24.936
Z3.3.A,2005,FEMALE,5.896,1.0,13433.884945,5.9,-1.86,16.865
Z3.3.A,2005,MALE,39.289,5.0,13810.172854,17.68,0.21,35.595
Z3.3.A,2006,BOTH,26.97,8.0,27492.917436,9.6,0.29,24.209
Z3.3.A,2006,FEMALE,25.045,4.0,13550.316927,12.63,0.48,18.961
Z3.3.A,2006,MALE,29.257,4.0,13942.600509,14.71,-0.16,31.565
Z3.3.A,2007,BOTH,15.061,4.0,27926.159549,7.53,-1.27,24.627
Z3.3.A,2007,FEMALE,21.658,3.0,13767.463782,12.51,0.27,18.289
Z3.3.A,2007,MALE,7.49,1.0,14158.695767,7.49,-3.42,33.082
Z3.3.A,2008,BOTH,27.079,8.0,28010.277692,9.64,0.5,22.229
Z3.3.A,2008,FEMALE,24.688,4.0,13770.153968,12.56,0.71,15.812
Z3.3.A,2008,MALE,28.827,4.0,14240.123724,14.45,-0.12,30.599
Z3.3.A,2009,BOTH,17.389,5.0,27889.383816,7.86,-0.99,25.195
Z3.3.A,2009,FEMALE,15.842,3.0,13690.055366,9.39,-0.32,18.837
Z3.3.A,2009,MALE,16.36,2.0,14199.328451,11.58,-1.49,33.61
Z3.3.A,2010,BOTH,35.806,11.0,27781.812978,10.88,0.97,25.232
Z3.3.A,2010,FEMALE,31.462,5.0,13626.586943,14.47,0.97,17.428
Z3.3.A,2010,MALE,42.585,6.0,14155.226035,17.42,0.42,35.286
Z3.3.A,2011,BOTH,32.016,9.0,27526.821796,10.71,0.61,25.488
Z3.3.A,2011,FEMALE,28.304,4.0,13514.241748,14.17,0.69,18.587
Z3.3.A,2011,MALE,35.844,5.0,14012.580048,16.04,0.11,34.139
Z3.3.A,2012,BOTH,33.452,10.0,27353.83448,10.63,0.87,24.154
Z3.3.A,2012,FEMALE,25.621,4.0,13444.060982,12.92,0.59,17.935
Z3.3.A,2012,MALE,43.708,6.0,13909.773498,17.85,0.66,31.937
Z3.3.A,2013,BOTH,39.481,12.0,27160.772128,11.47,1.44,23.005
Z3.3.A,2013,FEMALE,24.118,4.0,13299.512587,12.29,0.6,16.695
Z3.3.A,2013,MALE,56.454,8.0,13861.259541,19.98,1.28,30.956
Z3.3.A,2014,BOTH,31.759,10.0,26927.966554,10.12,0.79,23.783
Z3.3.A,2014,FEMALE,18.019,3.0,13219.593738,10.7,0.08,17.13
Z3.3.A,2014,MALE,48.444,7.0,13708.372817,18.36,0.88,32.318
Z3.3.A,2015,BOTH,16.352,5.0,26830.283496,7.34,-1.15,24.775
Z3.3.A,2015,FEMALE,24.534,4.0,13208.079831,12.44,0.53,17.915
Z3.3.A,2015,MALE,6.376,1.0,13622.203665,6.38,-4.23,33.338
Z3.3.A,2016,BOTH,20.101,6.0,26528.492309,8.21,-1.16,29.627
Z3.3.A,2016,FEMALE,19.517,3.0,13121.747763,11.28,-0.15,21.156
Z3.3.A,2016,MALE,21.216,3.0,13406.744546,12.25,-1.57,40.467
Z3.3.A,2017,BOTH,35.025,11.0,26452.647008,10.67,0.53,29.394
Z3.3.A,2017,FEMALE,9.921,2.0,13132.180463,7.1,-1.62,21.429
Z3.3.A,2017,MALE,63.831,9.0,13320.466545,21.4,1.13,39.596
Z3.3.A,2018,BOTH,21.369,6.0,26372.082108,8.9,-0.84,28.824
Z3.3.A,2018,FEMALE,15.916,2.0,13018.637393,11.74,-0.38,20.429
Z3.3.A,2018,MALE,28.493,4.0,13353.444715,14.36,-0.73,39.03
Z3.3.A,2019,BOTH,10.267,4.0,26243.827224,5.13,-3.68,29.181
Z3.3.A,2019,FEMALE,0.0,0.0,12950.230813,15.44,-1.42,21.923
Z3.3.A,2019,MALE,23.335,4.0,13293.596411,11.76,-1.26,38.16
Z3.3.A,2020,BOTH,16.973,5.0,26219.815758,7.8,-1.25,26.747
Z3.3.A,2020,FEMALE,0.0,0.0,12865.974503,15.54,-1.13,17.548
Z3.3.A,2020,MALE,35.73,5.0,13353.841255,16.24,-0.14,37.939
Z3.3.B,2004,BOTH,21.118,4.0,18427.870324,10.67,-0.28,24.141
Z3.3.B,2004,FEMALE,20.693,2.0,9135.8328809,14.78,0.23,17.354
Z3.3.B,2004,MALE,23.385,2.0,9292.0374428,16.78,-0.62,33.816
Z3.3.B,2005,BOTH,32.456,6.0,18676.103624,13.35,0.56,24.936
Z3.3.B,2005,FEMALE,49.95,5.0,9228.3449071,22.45,1.47,16.865
Z3.3.B,2005,MALE,13.488,1.0,9447.758717,13.49,-1.64,35.595
Z3.3.B,2006,BOTH,18.514,4.0,18984.937169,9.26,-0.62,24.209
Z3.3.B,2006,FEMALE,8.947,1.0,9333.3865278,8.95,-1.12,18.961
Z3.3.B,2006,MALE,31.491,3.0,9651.5506417,18.37,0.0,31.565
Z3.3.B,2007,BOTH,23.874,5.0,19206.470256,10.69,-0.07,24.627
Z3.3.B,2007,FEMALE,28.61,3.0,9441.7022271,16.56,0.62,18.289
Z3.3.B,2007,MALE,20.097,2.0,9764.7680293,14.21,-0.91,33.082
Z3.3.B,2008,BOTH,8.859,2.0,19304.041767,6.26,-2.13,22.229
Z3.3.B,2008,FEMALE,13.951,2.0,9493.7203881,9.86,-0.19,15.812
Z3.3.B,2008,MALE,0.0,0.0,9810.3213791,20.38,-1.5,30.599
Z3.3.B,2009,BOTH,5.355,1.0,19247.818622,5.35,-3.71,25.195
Z3.3.B,2009,FEMALE,10.805,1.0,9468.2023361,10.81,-0.74,18.837
Z3.3.B,2009,MALE,0.0,0.0,9779.6162861,20.44,-1.64,33.61
Z3.3.B,2010,BOTH,61.974,12.0,19125.266977,17.94,2.05,25.232
Z3.3.B,2010,FEMALE,28.048,3.0,9454.2532334,16.47,0.64,17.428
Z3.3.B,2010,MALE,95.215,9.0,9671.0137437,31.77,1.89,35.286
Z3.3.B,2011,BOTH,20.984,4.0,18927.01204,10.49,-0.43,25.488
Z3.3.B,2011,FEMALE,9.866,1.0,9398.6483129,9.87,-0.88,18.587
Z3.3.B,2011,MALE,31.74,3.0,9528.3637274,18.33,-0.13,34.139
Z3.3.B,2012,BOTH,14.254,3.0,18853.391315,8.26,-1.2,24.154
Z3.3.B,2012,FEMALE,9.568,1.0,9390.93465,9.57,-0.87,17.935
Z3.3.B,2012,MALE,20.988,2.0,9462.4566645,14.85,-0.74,31.937
Z3.3.B,2013,BOTH,8.851,2.0,18842.210292,6.28,-2.25,23.005
Z3.3.B,2013,FEMALE,9.702,1.0,9395.8990803,9.7,-0.72,16.695
Z3.3.B,2013,MALE,10.455,1.0,9446.3112119,10.46,-1.96,30.956
Z3.3.B,2014,BOTH,30.04,6.0,18845.221778,12.27,0.51,23.783
Z3.3.B,2014,FEMALE,19.54,2.0,9417.6941672,13.86,0.17,17.13
Z3.3.B,2014,MALE,39.371,4.0,9427.5276112,19.7,0.36,32.318
Z3.3.B,2015,BOTH,33.171,7.0,18743.436954,12.58,0.67,24.775
Z3.3.B,2015,FEMALE,20.563,2.0,9389.6930085,14.56,0.18,17.915
Z3.3.B,2015,MALE,49.304,5.0,9353.743946,22.08,0.72,33.338
Z3.3.B,2016,BOTH,21.419,5.0,18660.810818,9.61,-0.85,29.627
Z3.3.B,2016,FEMALE,6.667,1.0,9368.4491066,6.67,-2.17,21.156
Z3.3.B,2016,MALE,40.213,4.0,9292.3617113,20.13,-0.01,40.467
Z3.3.B,2017,BOTH,31.301,7.0,18573.708662,11.87,0.16,29.394
Z3.3.B,2017,FEMALE,26.172,3.0,9323.6045974,15.13,0.31,21.429
Z3.3.B,2017,MALE,39.57,4.0,9250.104065,19.85,0.0,39.596
Z3.3.B,2018,BOTH,23.268,5.0,18550.91563,10.42,-0.53,28.824
Z3.3.B,2018,FEMALE,26.678,3.0,9294.825528,15.44,0.4,20.429
Z3.3.B,2018,MALE,18.395,2.0,9256.0901019,13.04,-1.58,39.03
Z3.3.B,2019,BOTH,25.918,6.0,18481.469388,10.64,-0.31,29.181
Z3.3.B,2019,FEMALE,17.487,2.0,9269.7612805,12.36,-0.36,21.923
Z3.3.B,2019,MALE,34.519,4.0,9211.7081076,17.29,-0.21,38.16
Z3.3.B,2020,BOTH,7.612,2.0,18642.27523,5.39,-3.55,26.747
Z3.3.B,2020,FEMALE,7.531,1.0,9358.4369645,7.53,-1.33,17.548
Z3.3.B,2020,MALE,7.494,1.0,9283.838265,7.49,-4.06,37.939
Z3.4.A,2004,BOTH,25.228,6.0,32972.512951,10.34,0.11,24.141
Z3.4.A,2004,FEMALE,14.56,2.0,16243.693459,10.3,-0.27,17.354
Z3.4.A,2004,MALE,46.856,4.0,16728.819492,23.85,0.55,33.816
Z3.4.A,2005,BOTH,15.274,4.0,33319.30254,7.64,-1.26,24.936
Z3.4.A,2005,FEMALE,7.548,1.0,16408.994737,7.55,-1.23,16.865
Z3.4.A,2005,MALE,23.232,3.0,16910.307803,13.43,-0.92,35.595
Z3.4.A,2006,BOTH,19.591,5.0,33706.226451,8.78,-0.53,24.209
Z3.4.A,2006,FEMALE,22.114,3.0,16573.725447,12.84,0.25,18.961
Z3.4.A,2006,MALE,20.133,2.0,17132.501004,14.49,-0.79,31.565
Z3.4.A,2007,BOTH,55.119,15.0,34012.987639,14.26,2.14,24.627
Z3.4.A,2007,FEMALE,40.588,6.0,16739.998055,16.62,1.34,18.289
Z3.4.A,2007,MALE,70.366,9.0,17272.989584,23.9,1.56,33.082
Z3.4.A,2008,BOTH,36.5,10.0,34481.288921,11.57,1.23,22.229
Z3.4.A,2008,FEMALE,13.775,2.0,17041.188166,9.75,-0.21,15.812
Z3.4.A,2008,MALE,60.971,8.0,17440.100755,21.7,1.4,30.599
Z3.4.A,2009,BOTH,21.818,6.0,34570.766333,8.91,-0.38,25.195
Z3.4.A,2009,FEMALE,20.399,3.0,17095.186661,11.78,0.13,18.837
Z3.4.A,2009,MALE,27.446,3.0,17475.579672,16.12,-0.38,33.61
Z3.4.A,2010,BOTH,28.064,8.0,34390.960681,9.92,0.29,25.232
Z3.4.A,2010,FEMALE,6.425,1.0,16961.215123,6.43,-1.71,17.428
Z3.4.A,2010,MALE,50.941,7.0,17429.745558,19.27,0.81,35.286
Z3.4.A,2011,BOTH,17.519,5.0,34188.938639,7.84,-1.02,25.488
Z3.4.A,2011,FEMALE,23.035,4.0,16868.176838,11.58,0.38,18.587
Z3.4.A,2011,MALE,6.506,1.0,17320.761801,6.51,-4.25,34.139
Z3.4.A,2012,BOTH,26.972,8.0,34269.582675,9.55,0.3,24.154
Z3.4.A,2012,FEMALE,12.388,2.0,16884.385486,8.76,-0.63,17.935
Z3.4.A,2012,MALE,44.853,6.0,17385.197188,18.57,0.7,31.937
Z3.4.A,2013,BOTH,19.744,6.0,34445.229399,8.07,-0.4,23.005
Z3.4.A,2013,FEMALE,11.964,2.0,17016.16913,8.47,-0.56,16.695
Z3.4.A,2013,MALE,34.267,4.0,17429.060269,17.21,0.19,30.956
Z3.4.A,2014,BOTH,22.546,7.0,34481.263548,8.53,-0.15,23.783
Z3.4.A,2014,FEMALE,30.244,5.0,17037.227408,13.53,0.97,17.13
Z3.4.A,2014,MALE,12.748,2.0,17444.036141,9.01,-2.17,32.318
Z3.4.A,2015,BOTH,28.385,9.0,34567.492932,9.51,0.38,24.775
Z3.4.A,2015,FEMALE,12.92,2.0,17108.177252,9.14,-0.55,17.915
Z3.4.A,2015,MALE,45.557,7.0,17459.31568,17.39,0.7,33.338
Z3.4.A,2016,BOTH,24.198,8.0,34412.628798,8.59,-0.63,29.627
Z3.4.A,2016,FEMALE,12.9,2.0,17082.902787,9.12,-0.9,21.156
Z3.4.A,2016,MALE,39.821,6.0,17329.72601,16.5,-0.04,40.467
Z3.4.A,2017,BOTH,27.8,10.0,34104.568066,8.81,-0.18,29.394
Z3.4.A,2017,FEMALE,21.55,4.0,16974.081971,10.81,0.01,21.429
Z3.4.A,2017,MALE,34.805,6.0,17130.486095,14.24,-0.34,39.596
Z3.4.A,2018,BOTH,27.101,9.0,33929.156826,9.06,-0.19,28.824
Z3.4.A,2018,FEMALE,10.105,2.0,16860.052316,7.15,-1.44,20.429
Z3.4.A,2018,MALE,45.77,7.0,17069.10451,17.41,0.39,39.03
Z3.4.A,2019,BOTH,36.006,13.0,33702.406525,10.03,0.68,29.181
Z3.4.A,2019,FEMALE,25.779,5.0,16731.986095,11.58,0.33,21.923
Z3.4.A,2019,MALE,45.032,8.0,16970.42043,16.0,0.43,38.16
Z3.4.A,2020,BOTH,29.025,10.0,33646.261105,9.22,0.25,26.747
Z3.4.A,2020,FEMALE,15.593,3.0,16729.021154,9.02,-0.22,17.548
Z3.4.A,2020,MALE,44.534,7.0,16917.239952,16.94,0.39,37.939
Z3.4.B,2004,BOTH,31.721,6.0,20216.553495,13.06,0.58,24.141
Z3.4.B,2004,FEMALE,32.432,3.0,10143.912322,19.01,0.79,17.354
Z3.4.B,2004,MALE,31.108,3.0,10072.641173,17.99,-0.15,33.816
Z3.4.B,2005,BOTH,27.827,6.0,20541.885635,11.49,0.25,24.936
Z3.4.B,2005,FEMALE,36.407,4.0,10312.738722,18.92,1.03,16.865
Z3.4.B,2005,MALE,20.242,2.0,10229.146913,14.32,-1.07,35.595
Z3.4.B,2006,BOTH,25.009,5.0,20719.594962,11.26,0.07,24.209
Z3.4.B,2006,FEMALE,18.902,2.0,10343.748769,13.47,0.0,18.961
Z3.4.B,2006,MALE,30.383,3.0,10375.846192,17.68,-0.07,31.565
Z3.4.B,2007,BOTH,32.89,7.0,21098.16626,12.5,0.66,24.627
Z3.4.B,2007,FEMALE,34.818,4.0,10560.756607,17.83,0.93,18.289
Z3.4.B,2007,MALE,29.919,3.0,10537.409653,17.3,-0.18,33.082
Z3.4.B,2008,BOTH,36.151,8.0,21337.886424,12.83,1.08,22.229
Z3.4.B,2008,FEMALE,58.39,7.0,10646.457128,22.5,1.89,15.812
Z3.4.B,2008,MALE,10.745,1.0,10691.429296,10.74,-1.85,30.599
Z3.4.B,2009,BOTH,18.582,4.0,21469.803929,9.3,-0.71,25.195
Z3.4.B,2009,FEMALE,8.93,1.0,10751.483728,8.93,-1.11,18.837
Z3.4.B,2009,MALE,28.036,3.0,10718.320201,16.19,-0.34,33.61
Z3.4.B,2010,BOTH,43.953,10.0,21617.194337,13.97,1.34,25.232
Z3.4.B,2010,FEMALE,16.798,2.0,10848.865646,11.88,-0.05,17.428
Z3.4.B,2010,MALE,80.716,8.0,10768.328692,28.57,1.59,35.286
Z3.4.B,2011,BOTH,27.067,6.0,21499.618279,11.06,0.14,25.488
Z3.4.B,2011,FEMALE,0.0,0.0,10795.04126,18.52,-1.0,18.587
Z3.4.B,2011,MALE,55.426,6.0,10704.57702,22.64,0.94,34.139
Z3.4.B,2012,BOTH,33.582,8.0,21462.933356,11.88,0.79,24.154
Z3.4.B,2012,FEMALE,37.017,5.0,10792.108799,16.68,1.14,17.935
Z3.4.B,2012,MALE,26.819,3.0,10670.824557,15.49,-0.33,31.937
Z3.4.B,2013,BOTH,13.32,3.0,21562.062405,7.7,-1.26,23.005
Z3.4.B,2013,FEMALE,9.395,1.0,10764.762811,9.39,-0.78,16.695
Z3.4.B,2013,MALE,17.568,2.0,10797.299593,12.43,-1.08,30.956
Z3.4.B,2014,BOTH,20.999,5.0,21528.526445,9.41,-0.3,23.783
Z3.4.B,2014,FEMALE,16.337,2.0,10766.62835,11.56,-0.07,17.13
Z3.4.B,2014,MALE,27.233,3.0,10761.898096,15.75,-0.32,32.318
Z3.4.B,2015,BOTH,15.498,4.0,21771.869328,7.77,-1.19,24.775
Z3.4.B,2015,FEMALE,5.767,1.0,10906.343184,5.77,-2.11,17.915
Z3.4.B,2015,MALE,26.07,3.0,10865.526144,15.1,-0.48,33.338
Z3.4.B,2016,BOTH,20.357,5.0,21908.74949,9.11,-1.02,29.627
Z3.4.B,2016,FEMALE,0.0,0.0,10989.956026,18.19,-1.16,21.156
Z3.4.B,2016,MALE,42.275,5.0,10918.793464,18.93,0.1,40.467
Z3.4.B,2017,BOTH,26.577,7.0,22096.457692,10.07,-0.28,29.394
Z3.4.B,2017,FEMALE,15.047,2.0,11085.980835,10.66,-0.6,21.429
Z3.4.B,2017,MALE,40.992,5.0,11010.476857,18.41,0.08,39.596
Z3.4.B,2018,BOTH,29.455,8.0,22137.711858,10.42,0.06,28.824
Z3.4.B,2018,FEMALE,22.35,3.0,11125.973673,12.91,0.15,20.429
Z3.4.B,2018,MALE,37.216,5.0,11011.738185,16.67,-0.11,39.03
Z3.4.B,2019,BOTH,35.003,9.0,22091.915163,11.95,0.49,29.181
Z3.4.B,2019,FEMALE,21.423,3.0,11146.415807,12.37,-0.04,21.923
Z3.4.B,2019,MALE,53.828,6.0,10945.499355,22.44,0.7,38.16
Z3.4.B,2020,BOTH,20.637,6.0,22366.166821,8.49,-0.72,26.747
Z3.4.B,2020,FEMALE,6.241,1.0,11260.260921,6.24,-1.81,17.548
Z3.4.B,2020,MALE,35.735,5.0,11105.905899,16.14,-0.14,37.939
Z3.4.C,2004,BOTH,19.615,3.0,19277.090403,11.37,-0.4,24.141
Z3.4.C,2004,FEMALE,39.012,3.0,9514.580747,22.58,0.96,17.354
Z3.4.C,2004,MALE,0.0,0.0,9762.509656,20.48,-1.65,33.816
Z3.4.C,2005,BOTH,52.888,9.0,19866.526012,17.7,1.58,24.936
Z3.4.C,2005,FEMALE,20.269,2.0,9797.5205577,14.33,0.24,16.865
Z3.4.C,2005,MALE,95.793,7.0,10069.005455,36.63,1.64,35.595
Z3.4.C,2006,BOTH,24.185,4.0,20451.310207,12.16,0.0,24.209
Z3.4.C,2006,FEMALE,21.956,2.0,10116.766437,16.12,0.19,18.961
Z3.4.C,2006,MALE,28.315,2.0,10334.54377,20.02,-0.16,31.565
Z3.4.C,2007,BOTH,17.114,3.0,21010.777003,9.89,-0.76,24.627
Z3.4.C,2007,FEMALE,22.034,2.0,10393.347554,15.75,0.24,18.289
Z3.4.C,2007,MALE,16.083,1.0,10617.429449,16.08,-1.06,33.082
Z3.4.C,2008,BOTH,17.467,3.0,21299.183223,10.11,-0.47,22.229
Z3.4.C,2008,FEMALE,0.0,0.0,10564.460421,18.92,-0.84,15.812
Z3.4.C,2008,MALE,35.762,3.0,10734.722802,20.7,0.25,30.599
Z3.4.C,2009,BOTH,29.581,5.0,21367.365999,13.25,0.33,25.195
Z3.4.C,2009,FEMALE,24.254,2.0,10630.644254,17.16,0.32,18.837
Z3.4.C,2009,MALE,37.143,3.0,10736.721745,21.47,0.16,33.61
Z3.4.C,2010,BOTH,27.024,5.0,21257.388585,12.12,0.15,25.232
Z3.4.C,2010,FEMALE,43.271,4.0,10549.059595,21.79,1.19,17.428
Z3.4.C,2010,MALE,9.574,1.0,10708.32899,9.57,-2.69,35.286
Z3.4.C,2011,BOTH,21.778,4.0,21422.931562,10.92,-0.34,25.488
Z3.4.C,2011,FEMALE,22.276,2.0,10607.782802,15.75,0.23,18.587
Z3.4.C,2011,MALE,20.879,2.0,10815.148761,14.79,-0.9,34.139
Z3.4.C,2012,BOTH,37.802,7.0,21583.769868,14.31,0.95,24.154
Z3.4.C,2012,FEMALE,38.254,4.0,10681.038326,19.2,1.06,17.935
Z3.4.C,2012,MALE,35.4,3.0,10902.731541,20.52,0.17,31.937
Z3.4.C,2013,BOTH,15.223,3.0,21953.212839,8.83,-0.88,23.005
Z3.4.C,2013,FEMALE,6.731,1.0,10893.222845,6.73,-1.48,16.695
Z3.4.C,2013,MALE,22.172,2.0,11059.989995,15.72,-0.56,30.956
Z3.4.C,2014,BOTH,33.742,7.0,22363.239459,12.83,0.78,23.783
Z3.4.C,2014,FEMALE,42.116,5.0,11100.809947,19.21,1.3,17.13
Z3.4.C,2014,MALE,21.043,2.0,11262.429512,15.03,-0.75,32.318
Z3.4.C,2015,BOTH,33.532,7.0,22362.568861,12.75,0.69,24.775
Z3.4.C,2015,FEMALE,11.112,1.0,11114.689981,11.11,-0.61,17.915
Z3.4.C,2015,MALE,59.012,6.0,11247.87888,24.28,1.06,33.338
Z3.4.C,2016,BOTH,52.16,11.0,22372.44271,15.81,1.43,29.627
Z3.4.C,2016,FEMALE,28.208,3.0,11156.95332,16.3,0.43,21.156
Z3.4.C,2016,MALE,82.872,8.0,11215.48939,29.53,1.44,40.467
Z3.4.C,2017,BOTH,61.577,14.0,22443.661499,16.57,1.94,29.394
Z3.4.C,2017,FEMALE,21.035,3.0,11228.064749,12.18,-0.03,21.429
Z3.4.C,2017,MALE,107.111,11.0,11215.596749,32.86,2.05,39.596
Z3.4.C,2018,BOTH,44.049,10.0,22667.665901,14.04,1.08,28.824
Z3.4.C,2018,FEMALE,27.924,3.0,11367.087654,16.13,0.46,20.429
Z3.4.C,2018,MALE,61.426,7.0,11300.578247,23.54,0.95,39.03
Z3.4.C,2019,BOTH,31.437,7.0,22953.024533,12.05,0.19,29.181
Z3.4.C,2019,FEMALE,43.308,5.0,11561.746888,19.76,1.08,21.923
Z3.4.C,2019,MALE,20.044,2.0,11391.277646,14.29,-1.27,38.16
Z3.4.C,2020,BOTH,53.117,14.0,23350.537263,14.31,1.84,26.747
Z3.4.C,2020,FEMALE,36.259,5.0,11773.355836,16.36,1.14,17.548
Z3.4.C,2020,MALE,69.879,9.0,11577.181426,23.48,1.36,37.939
Z3.5.A,2004,BOTH,18.978,5.0,26091.250929,8.61,-0.6,24.141
Z3.5.A,2004,FEMALE,0.0,0.0,13205.98611,15.14,-1.15,17.354
Z3.5.A,2004,MALE,41.736,5.0,12885.26482,18.77,0.42,33.816
Z3.5.A,2005,BOTH,21.61,6.0,26422.623547,8.9,-0.37,24.936
Z3.5.A,2005,FEMALE,20.119,3.0,13302.818944,11.77,0.28,16.865
Z3.5.A,2005,MALE,23.64,3.0,13119.804602,13.73,-0.87,35.595
Z3.5.A,2006,BOTH,31.435,9.0,26706.028982,10.56,0.68,24.209
Z3.5.A,2006,FEMALE,6.54,1.0,13418.937371,6.54,-1.9,18.961
Z3.5.A,2006,MALE,62.854,8.0,13287.09161,22.44,1.39,31.565
Z3.5.A,2007,BOTH,23.466,7.0,27296.124755,8.91,-0.13,24.627
Z3.5.A,2007,FEMALE,10.186,2.0,13713.481125,7.23,-1.12,18.289
Z3.5.A,2007,MALE,41.058,5.0,13582.643631,18.53,0.43,33.082
Z3.5.A,2008,BOTH,25.842,8.0,27879.986002,9.17,0.39,22.229
Z3.5.A,2008,FEMALE,23.738,4.0,13983.565552,12.08,0.66,15.812
Z3.5.A,2008,MALE,28.247,4.0,13896.42045,14.18,-0.17,30.599
Z3.5.A,2009,BOTH,30.143,9.0,28334.899977,10.11,0.49,25.195
Z3.5.A,2009,FEMALE,22.045,4.0,14245.812006,11.21,0.29,18.837
Z3.5.A,2009,MALE,38.886,5.0,14089.087971,17.53,0.3,33.61
Z3.5.A,2010,BOTH,28.074,9.0,28223.3421,9.39,0.3,25.232
Z3.5.A,2010,FEMALE,17.107,3.0,14209.95802,9.89,-0.03,17.428
Z3.5.A,2010,MALE,41.277,6.0,14013.384079,16.88,0.35,35.286
Z3.5.A,2011,BOTH,15.509,5.0,28539.901686,6.96,-1.43,25.488
Z3.5.A,2011,FEMALE,5.772,1.0,14400.936322,5.77,-2.22,18.587
Z3.5.A,2011,MALE,28.607,4.0,14138.965365,14.42,-0.38,34.139
Z3.5.A,2012,BOTH,13.231,4.0,28779.953666,6.74,-1.62,24.154
Z3.5.A,2012,FEMALE,8.144,2.0,14493.967555,5.76,-1.7,17.935
Z3.5.A,2012,MALE,16.011,2.0,14285.986111,11.36,-1.4,31.937
Z3.5.A,2013,BOTH,11.876,4.0,29130.270139,5.97,-1.86,23.005
Z3.5.A,2013,FEMALE,10.511,2.0,14698.289268,7.43,-0.83,16.695
Z3.5.A,2013,MALE,13.617,2.0,14431.980871,9.66,-1.8,30.956
Z3.5.A,2014,BOTH,23.454,8.0,29580.591975,8.38,-0.04,23.783
